Hospital,Type,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2014
BRIDGEPORT HOSPITAL,ALOS,5.2,5.3,5.3,5.2,5.5,5.5,5.3,5.3
BRIDGEPORT HOSPITAL,Champus / TRICARE,25,31,33,23,28,33,20,22
BRIDGEPORT HOSPITAL,Discharges,19580,19675,20022,19808,19044,19058,18936,18453
BRIDGEPORT HOSPITAL,Emergency Room - Treated and Admitted,8894,9556,10058,10610,10660,11166,11267,10835
BRIDGEPORT HOSPITAL,Emergency Room - Treated and Discharged,55740,57987,56580,66812,65012,65670,67791,66060
BRIDGEPORT HOSPITAL,Hospital Total Margins,4.06%,2.48%,-0.37%,0.45%,4.78%,8.15%,7.95%,8.18%
BRIDGEPORT HOSPITAL,Medicaid,4349,4577,4759,4962,5266,6004,5984,5789
BRIDGEPORT HOSPITAL,Medicaid Payment to Cost Ratio,0.71,0.71,0.81,0.77,0.72,0.74,0.74,0.69
BRIDGEPORT HOSPITAL,Medicare,6725,7016,7096,7107,6937,6932,7260,7117
BRIDGEPORT HOSPITAL,Medicare Payment to Cost Ratio,1.1,1.06,1.04,1.02,0.95,0.98,0.98,1.03
BRIDGEPORT HOSPITAL,Occupancy of staffed beds,84%,85%,97%,99%,99%,99%,98%,99%
BRIDGEPORT HOSPITAL,Private Payment to Cost Ratio,1.2,1.24,1.17,1.22,1.39,1.44,1.41,1.49
BRIDGEPORT HOSPITAL,Staffed Beds,334,335,302,288,290,289,281,271
BRIDGEPORT HOSPITAL,Total Case Mix Index,1.2852,1.2557,1.2688,1.267,1.3084,1.2938,1.2798,1.3121
BRIDGEPORT HOSPITAL,Total Emergency Room Visits,64634,67543,66638,77422,75672,76836,79058,76895
BRIDGEPORT HOSPITAL,Uncompensated Care Cost,"$11,167,718","$11,959,917","$14,002,199","$15,245,620","$11,054,283","$12,285,910","$12,979,556","$14,066,134"
BRISTOL HOSPITAL,ALOS,4.2,4.2,4.1,4.3,4,3.9,3.9,4
BRISTOL HOSPITAL,Champus / TRICARE,13,17,11,11,20,25,25,16
BRISTOL HOSPITAL,Discharges,8054,8064,8016,7846,7617,7316,7565,7448
BRISTOL HOSPITAL,Emergency Room - Treated and Admitted,5476,5667,5723,5501,5467,5363,5787,5771
BRISTOL HOSPITAL,Emergency Room - Treated and Discharged,31921,33859,34410,33551,33293,34497,32242,32582
BRISTOL HOSPITAL,Full Time Equivalent Employees,884,876.5,905.1,899.4,873.3,860.8,863.7,855
BRISTOL HOSPITAL,Hospital Total Margins,-7.99%,5.73%,-0.79%,0.29%,1.35%,1.63%,1.68%,1.66%
BRISTOL HOSPITAL,Medicaid,1063,1049,1106,1084,1325,1593,1625,1646
BRISTOL HOSPITAL,Medicaid Payment to Cost Ratio,0.76,0.87,0.84,0.75,0.71,0.72,0.66,0.73
BRISTOL HOSPITAL,Medicare,3596,3589,3640,3597,3426,3378,3565,3584
BRISTOL HOSPITAL,Medicare Payment to Cost Ratio,0.88,0.92,0.91,0.81,0.85,0.85,0.84,0.81
BRISTOL HOSPITAL,Occupancy of staffed beds,61%,80%,79%,70%,64%,60%,61%,71%
BRISTOL HOSPITAL,Private Payment to Cost Ratio,1.06,1.1,1.18,1.18,1.16,1.07,1.25,1.42
BRISTOL HOSPITAL,Staffed Beds,154,115,115,132,132,132,132,115
BRISTOL HOSPITAL,Total Case Mix Index,1.0298,1.0388,1.0817,1.0896,1.0809,1.1124,1.1172,1.1161
