,Hospital,Rank,Position.Title,Salary,Fringe.Benefits,Total
33,BRIDGEPORT HOSPITAL,1,President & CEO,"$911,931","$310,091","$1,222,022"
34,BRIDGEPORT HOSPITAL,2,Exec. VP/Administration,"$697,172","$232,733","$929,905"
35,BRIDGEPORT HOSPITAL,3,Senior VP of Finance & CFO,"$590,950","$205,127","$796,077"
36,BRIDGEPORT HOSPITAL,4,Sr. VP/Medical Affairs,"$462,322","$54,539","$516,861"
37,BRIDGEPORT HOSPITAL,5,VP of Planning & Marketing,"$337,010","$150,104","$487,114"
38,BRIDGEPORT HOSPITAL,6,ER Physician,"$411,942","$45,944","$457,886"
39,BRIDGEPORT HOSPITAL,7,ER Physician,"$395,491","$37,627","$433,118"
40,BRIDGEPORT HOSPITAL,8,ER Physician,"$357,772","$45,261","$403,033"
41,BRIDGEPORT HOSPITAL,9,ER Physician,"$355,581","$43,943","$399,524"
42,BRIDGEPORT HOSPITAL,10,ER Physician,"$343,405","$37,627","$381,032"
43,BRISTOL HOSPITAL,1,President & CEO,,"$39,935","$659,742"
44,BRISTOL HOSPITAL,2,"Sr. Vice President, Chief Medical Officer",,"$30,679","$375,135"
45,BRISTOL HOSPITAL,3,Vice President of Finance/CFO,,"$31,159","$328,273"
46,BRISTOL HOSPITAL,4,"Sr. Vice President, Patient Care Services & CNO",,"$32,705","$308,975"
47,BRISTOL HOSPITAL,5,"Assistant VIce President, Information Services",,"$30,448","$210,272"
48,BRISTOL HOSPITAL,6,"Vice President, Human Resources and Support Svcs",,"$30,839","$207,363"
49,BRISTOL HOSPITAL,7,"Assistant Vice President, Chief Development Office",,"$18,862","$186,781"
50,BRISTOL HOSPITAL,8,Occupational Health Physician,,"$11,697","$177,125"
51,BRISTOL HOSPITAL,9,Director of Revenue Cycle,,"$17,839","$157,556"
52,BRISTOL HOSPITAL,10,Manager of Programming & Business Intelligence,,"$28,520","$156,752"
53,CHARLOTTE HUNGERFORD HOSPITAL,1,PHYSICIAN SURGEON,"$585,978","$162,445","$748,423"
54,CHARLOTTE HUNGERFORD HOSPITAL,2,PHYSICIAN SURGEON,"$516,473","$143,177","$659,650"
