row,Hospital,year1,year2,year3,year4,
1,WILLIAM W. BACKUS HOSPITAL,,,,,
3,"The William W. Backus Hospital, founded in 1893, is located in Norwich.  In FY 2009, the",,,,,
4,Hospital generated $12.8 million in income from operations and experienced a $1.3 million non-,,,,,
5,"operating loss, resulting in an excess of revenues over expenses of $11.5 million.  The Hospital",,,,,
6,"reported 11,885 discharges and 50,032 patient days while staffing 202 of its 233 available beds.",,,,,
7,"Reported below is a chart indicating all of the affiliates of Backus Corporation, the parent",,,,,
8,"corporation of the Hospital, followed by various financial indicators and selected utilization",,,,,
9,measures.,,,,,
11,BACKUS,,,,,
12,CORPORATION,,,,,
14,Backus,Backus Health,WWB Corporation,,,
15,The William W.,"Foundation, Inc.",,(Collection - includes,Backus Properties,
16,Backus Hospital,(Fund Raising/,"Care, Inc.",investments in MEDConn,(Real Estate),
18,Backus Medical,,,Omni Home Health,,
19,Center,,"CONNCare, Inc.",Services of Eastern,,
20,Condominium,,(Occupational Health),"CT, dba Backus",,
21,Association,,,Home Health Care,,
25,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
26,Medicaid,,,Medicaid,,
27,11%,Uninsured,,7%,Uninsured,
28,Medical,3%,,,1%,
29,Assistance,,Medical,,,
30,4%,,Assistance,,,
33,Medicare/,,,,,
35,*TRICARE,,,,,
37,41%,,,,,
39,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,,2006,2007,2008,2009
40,Net Patient Revenue,,"$189,703,979","$217,893,336","$242,131,827","$259,652,271"
41,Other Operating Revenue,,"$4,069,321","$4,887,481","$4,421,056","$3,773,294"
42,Total Operating Revenue,,"$193,773,300","$222,780,817","$246,552,883","$263,425,565"
43,Total Operating Expenses,,"$190,691,513","$213,708,355","$237,933,157","$250,646,571"
44,Income/(Loss) from Operations,,"$3,081,787","$9,072,462","$8,619,726","$12,778,994"
45,Non Operating Revenue,,"$5,942,454","$10,953,916","-$5,612,420","-$1,302,635"
46,Excess/(Deficiency) of Revenue over Expenses,,"$9,024,241","$20,026,378","$3,007,306","$11,476,359"
48,19,*Source: Hospital Audited Financial Statements,,,,
50,KEY RESULTS - WILLIAM W. BACKUS HOSPITAL,,,,,
52,PROFITABILITY SUMMARY,2006,2007,2008,2009,
53,Hospital Operating Margins,1.54%,3.88%,3.58%,4.88%,
54,Hospital Non Operating Margins,2.98%,4.69%,-2.33%,-0.50%,
55,Hospital Total Margins,4.52%,8.57%,1.25%,4.38%,
56,COST DATA SUMMARY,,,,,
57,Ratio of cost to charges,0.48,0.46,0.44,0.44,
58,Private Payment to Cost Ratio,1.38,1.40,1.42,1.41,
59,Medicare Payment to Cost Ratio,0.82,0.84,0.81,0.73,
60,Medicaid Payment to Cost Ratio,0.48,0.56,0.60,0.62,
61,LIQUIDITY MEASURES SUMMARY,,,,,
62,Current Ratio,2.99,3.09,3.55,3.69,
63,Days cash on hand,64,82,77,90,
64,Days in patients accounts receivable,53,49,49,48,
65,Average Payment Period,45,50,44,46,
66,SOLVENCY MEASURES SUMMARY,,,,,
67,Equity financing ratio,56.8,55.1,48.8,36.1,
68,Cash flow to total debt ratio,21.3,34.2,21.1,30.4,
69,Long-term debt to Capitalization Ratio,30.6,29.2,31.9,36.2,
72,NET ASSETS SUMMARY,,,,,
73,Hospital Unrestricted Net Assets,"$144,981,639","$154,440,321","$132,391,851","$102,294,307",
74,Hospital Total Net Assets,"$155,029,599","$163,714,994","$140,788,086","$112,603,569",
75,UTILIZATION MEASURES SUMMARY,,,,,
76,Patient Days,"49,734","50,286","50,512","50,032",
77,Discharges,"11,615","12,076","11,940","11,885",
78,ALOS,4.3,4.2,4.2,4.2,
