,Year,Hospital,Rank,Position.Title,Salary,Fringe.Benefits,Total
3,2009,BRIDGEPORT HOSPITAL,1,President & CEO,"$1,503,899","$198,716","$1,702,615"
4,2009,BRIDGEPORT HOSPITAL,2,Medical Director,"$693,493","$54,975","$748,468"
5,2009,BRIDGEPORT HOSPITAL,3,Senior VP of Finance & CFO,"$452,914","$193,802","$646,716"
6,2009,BRIDGEPORT HOSPITAL,4,Senior VP & COO,"$398,201","$116,117","$514,318"
7,2009,BRIDGEPORT HOSPITAL,5,Senior VP of Human Resources,"$338,468","$125,985","$464,453"
8,2009,BRIDGEPORT HOSPITAL,6,ER Physician,"$329,566","$84,551","$414,117"
9,2009,BRIDGEPORT HOSPITAL,7,ER Physician,"$332,463","$43,466","$375,929"
10,2009,BRIDGEPORT HOSPITAL,8,Sr. VP of Quality Control & Risk Management,"$303,970","$51,428","$355,398"
11,2009,BRIDGEPORT HOSPITAL,9,ER Physician,"$293,252","$61,315","$354,567"
12,2009,BRIDGEPORT HOSPITAL,10,ER Physician,"$286,701","$65,025","$351,726"
13,2009,BRISTOL HOSPITAL,1,President & CEO,"$330,562","$38,423","$368,985"
14,2009,BRISTOL HOSPITAL,2,Oncology Physician,"$299,787","$27,925","$327,712"
15,2009,BRISTOL HOSPITAL,3,"Sr. Vice President, Chief Medical Officer","$280,910","$26,466","$307,376"
16,2009,BRISTOL HOSPITAL,4,Sr. Vice President/ CFO,"$259,685","$27,393","$287,078"
17,2009,BRISTOL HOSPITAL,5,Vice President of Patient Care Services,"$181,294","$30,811","$212,105"
18,2009,BRISTOL HOSPITAL,6,Clinic Physician,"$168,775","$31,685","$200,460"
19,2009,BRISTOL HOSPITAL,7,Vice President of Operations,"$171,050","$26,333","$197,383"
20,2009,BRISTOL HOSPITAL,8,Occupational Health Physician,"$180,545","$15,305","$195,850"
21,2009,BRISTOL HOSPITAL,9,"Assistant VIce President, Information Services","$127,236","$30,456","$157,692"
22,2009,BRISTOL HOSPITAL,10,Controller,"$112,302","$29,789","$142,091"
23,2009,CHARLOTTE HUNGERFORD HOSPITAL,1,PATHOLOGIST MED DIRECTOR,"$392,499","$107,356","$499,855"
24,2009,CHARLOTTE HUNGERFORD HOSPITAL,2,CEO PRESIDENT,"$373,786","$102,237","$476,023"
25,2009,CHARLOTTE HUNGERFORD HOSPITAL,3,VP MEDICAL AFFAIRS,"$351,709","$96,199","$447,908"
26,2009,CHARLOTTE HUNGERFORD HOSPITAL,4,CFO,"$294,906","$80,662","$375,568"
27,2009,CHARLOTTE HUNGERFORD HOSPITAL,5,PSYCHIATRIST MED DIRECTOR,"$280,321","$76,673","$356,994"
28,2009,CHARLOTTE HUNGERFORD HOSPITAL,6,PHYSICIAN HOSPITALIST,"$238,184","$65,148","$303,332"
29,2009,CHARLOTTE HUNGERFORD HOSPITAL,7,VP ADMINISTRATION,"$229,299","$62,717","$292,016"
30,2009,CHARLOTTE HUNGERFORD HOSPITAL,8,PATHOLOGIST,"$199,731","$54,630","$254,361"
31,2009,CHARLOTTE HUNGERFORD HOSPITAL,9,VP HUMAN RESOURCES,"$198,379","$54,260","$252,639"
32,2009,CHARLOTTE HUNGERFORD HOSPITAL,10,PHYSICIAN HOSPITALIST,"$195,564","$53,490","$249,054"
33,2009,CT CHILDREN`S MEDICAL CENTER,1,Physician In Chief,"$339,932","$49,032","$388,964"
34,2009,CT CHILDREN`S MEDICAL CENTER,2,Senior VP & CFO,"$315,000","$37,157","$352,157"
35,2009,CT CHILDREN`S MEDICAL CENTER,3,Chief Operating Officer,"$310,000","$29,764","$339,764"
36,2009,CT CHILDREN`S MEDICAL CENTER,4,President & CEO,"$284,396","$52,136","$336,532"
37,2009,CT CHILDREN`S MEDICAL CENTER,5,VP Quality Improvement & Patient Safety,"$241,166","$23,456","$264,622"
38,2009,CT CHILDREN`S MEDICAL CENTER,6,General Council,"$225,000","$25,232","$250,232"
39,2009,CT CHILDREN`S MEDICAL CENTER,7,VP Clinical Svcs & Chief RN Officer,"$208,708","$29,087","$237,795"
40,2009,CT CHILDREN`S MEDICAL CENTER,8,VP Human Resources,"$192,500","$18,680","$211,180"
41,2009,CT CHILDREN`S MEDICAL CENTER,9,Director of IT,"$161,405","$23,640","$185,045"
42,2009,CT CHILDREN`S MEDICAL CENTER,10,Staff Nurse - Operating Room,"$157,688","$9,764","$167,452"
43,2009,DANBURY HOSPITAL,1,CEO CHIEF EXECUTIVE OFFICER,"$780,605","$5,664,599","$6,445,204"
44,2009,DANBURY HOSPITAL,2,VP HUMAN RESOURCES,"$419,408","$307,504","$726,912"
45,2009,DANBURY HOSPITAL,3,EXECUTIVE VP,"$424,697","$51,238","$475,935"
46,2009,DANBURY HOSPITAL,4,CHIEF NURSING OFFICER,"$323,927","$49,195","$373,122"
47,2009,DANBURY HOSPITAL,5,MEDICAL DIRECTOR COMMUNITY HEALTH CENER,"$318,476","$44,459","$362,935"
48,2009,DANBURY HOSPITAL,6,VP MARKETING,"$298,446","$44,970","$343,416"
49,2009,DANBURY HOSPITAL,7,VP FACILITIES,"$270,850","$47,950","$318,800"
50,2009,DANBURY HOSPITAL,8,CHIEF INFORMATION OFFICER,"$280,850","$32,049","$312,899"
51,2009,DANBURY HOSPITAL,9,VP OPERATIONS,"$265,850","$43,642","$309,492"
52,2009,DANBURY HOSPITAL,10,CFO CHIEF FINANCIAL OFFICER,"$267,990","$41,038","$309,028"
53,2009,DAY KIMBALL HOSPITAL,1,President & CEO,"$368,410","$42,999","$411,409"
54,2009,DAY KIMBALL HOSPITAL,2,Psychiatric Physician,"$306,689","$28,132","$334,821"
55,2009,DAY KIMBALL HOSPITAL,3,OB/GYN Physician,"$285,995","$27,340","$313,335"
56,2009,DAY KIMBALL HOSPITAL,4,VP Medical Affairs,"$268,083","$26,655","$294,738"
57,2009,DAY KIMBALL HOSPITAL,5,Pulmonary Physician,"$231,233","$25,246","$256,479"
58,2009,DAY KIMBALL HOSPITAL,6,Cardiologist,"$228,661","$25,147","$253,808"
59,2009,DAY KIMBALL HOSPITAL,7,OB/GYN Physician,"$212,493","$24,529","$237,022"
60,2009,DAY KIMBALL HOSPITAL,8,Pediatrician,"$187,050","$23,556","$210,606"
61,2009,DAY KIMBALL HOSPITAL,9,Pediatrician,"$185,795","$23,508","$209,303"
62,2009,DAY KIMBALL HOSPITAL,10,Sr. VP of Patient Services,"$181,578","$23,346","$204,924"
63,2009,ESSENT-SHARON HOSPITAL,1,Chief Executive Officer,"$261,000","$56,324","$317,324"
64,2009,ESSENT-SHARON HOSPITAL,2,Chief Financial Officer,"$180,000","$38,844","$218,844"
65,2009,ESSENT-SHARON HOSPITAL,3,Chief Nursing Officer,"$140,000","$30,212","$170,212"
66,2009,ESSENT-SHARON HOSPITAL,4,Associate Administrator/Director HR,"$124,990","$26,973","$151,963"
67,2009,ESSENT-SHARON HOSPITAL,5,Chief Quality Officer,"$119,554","$25,800","$145,354"
68,2009,ESSENT-SHARON HOSPITAL,6,Corp Compliance/Director HIM,"$114,462","$24,701","$139,163"
69,2009,ESSENT-SHARON HOSPITAL,7,Director ICU/Medical floor,"$113,339","$24,459","$137,798"
70,2009,ESSENT-SHARON HOSPITAL,8,Assistant Chief Financial Officer,"$112,387","$24,253","$136,640"
71,2009,ESSENT-SHARON HOSPITAL,9,Ultrasound Technician,"$104,394","$22,528","$126,922"
72,2009,ESSENT-SHARON HOSPITAL,10,Director Surgical Services,"$101,920","$21,994","$123,914"
73,2009,GREENWICH HOSPITAL,1,President & CEO,"$982,054","$388,167","$1,370,221"
74,2009,GREENWICH HOSPITAL,2,Senior VP & CFO,"$469,662","$231,362","$701,024"
75,2009,GREENWICH HOSPITAL,3,Executive VP & COO,"$489,087","$208,304","$697,391"
76,2009,GREENWICH HOSPITAL,4,"Director, Pathology","$581,486","$52,152","$633,638"
77,2009,GREENWICH HOSPITAL,5,Pathologist,"$512,194","$87,329","$599,523"
78,2009,GREENWICH HOSPITAL,6,Pathologist,"$516,544","$53,926","$570,470"
79,2009,GREENWICH HOSPITAL,7,Pathologist,"$511,539","$57,389","$568,928"
80,2009,GREENWICH HOSPITAL,8,SVP- Health System Development,"$355,794","$145,905","$501,699"
81,2009,GREENWICH HOSPITAL,9,Pathologist,"$411,706","$53,269","$464,975"
82,2009,GREENWICH HOSPITAL,10,Pathologist,"$426,026","$25,140","$451,166"
83,2009,GRIFFIN HOSPITAL,1,CHIEF EXECUTIVE OFFICER,"$368,374","$43,428","$411,802"
84,2009,GRIFFIN HOSPITAL,2,"CHIEF, EMERGENCY ROOM PHYSICIAN","$300,019","$20,913","$320,932"
85,2009,GRIFFIN HOSPITAL,3,EMERGENCY ROOM PHYSICIAN,"$297,378","$12,495","$309,873"
86,2009,GRIFFIN HOSPITAL,4,"CHIEF, PSYCHIATRIC PHYSICIAN","$239,289","$60,501","$299,790"
87,2009,GRIFFIN HOSPITAL,5,"DIRECTOR, PREVENTATIVE MEDICINE","$250,653","$22,380","$273,033"
88,2009,GRIFFIN HOSPITAL,6,PSYCHIATRIC PHYSICIAN,"$193,063","$64,455","$257,518"
89,2009,GRIFFIN HOSPITAL,7,"CHIEF, PULMONARY PHYSICIAN","$207,917","$38,707","$246,624"
90,2009,GRIFFIN HOSPITAL,8,CHIEF FINANCIAL OFFICER,"$217,884","$26,440","$244,324"
91,2009,GRIFFIN HOSPITAL,9,EMERGENCY ROOM PHYSICIAN,"$227,594","$12,399","$239,993"
92,2009,GRIFFIN HOSPITAL,10,VICE PRESIDENT COMMUNICATION,"$161,054","$76,234","$237,288"
93,2009,HARTFORD HOSPITAL,1,President and CEO (former),"$1,223,144","$5,999,556","$7,222,700"
94,2009,HARTFORD HOSPITAL,2,"VP, Finance and CFO (former)","$604,856","$1,578,803","$2,183,659"
95,2009,HARTFORD HOSPITAL,3,"VP, Human Resources","$276,165","$1,670,234","$1,946,399"
96,2009,HARTFORD HOSPITAL,4,"VP, Academic Affairs","$460,115","$1,378,418","$1,838,533"
97,2009,HARTFORD HOSPITAL,5,President and CEO,"$1,147,191","$53,241","$1,200,432"
98,2009,HARTFORD HOSPITAL,6,Executive VP and COO,"$863,500","$52,847","$916,347"
99,2009,HARTFORD HOSPITAL,7,Director of Nuclear Cardiology,"$363,588","$499,721","$863,309"
100,2009,HARTFORD HOSPITAL,8,Director of Emergency Medicine & Trauma Services,"$542,086","$96,083","$638,169"
101,2009,HARTFORD HOSPITAL,9,Director of Cardiology,"$478,826","$156,225","$635,051"
102,2009,HARTFORD HOSPITAL,10,Director of Surgery,"$536,532","$87,356","$623,888"
103,2009,HOSPITAL OF SAINT RAPHAEL,1,President,"$616,689","$3,665,916","$4,282,605"
104,2009,HOSPITAL OF SAINT RAPHAEL,2,Clinical Chair - Medicine (MD),"$396,795","$317,570","$714,365"
105,2009,HOSPITAL OF SAINT RAPHAEL,3,Clinical Chair - Surgery (MD),"$478,310","$235,645","$713,955"
106,2009,HOSPITAL OF SAINT RAPHAEL,4,Senior Vice President-CMO (MD),"$361,523","$290,363","$651,886"
107,2009,HOSPITAL OF SAINT RAPHAEL,5,Senior Vice President-COO & CFO,"$401,099","$234,510","$635,609"
108,2009,HOSPITAL OF SAINT RAPHAEL,6,Clinical Chair-Emergency Medicine (MD),"$354,180","$274,831","$629,011"
109,2009,HOSPITAL OF SAINT RAPHAEL,7,Clinical Chair - Womens/Childrens Services (MD),"$401,869","$178,540","$580,409"
110,2009,HOSPITAL OF SAINT RAPHAEL,8,Section Chief-Thoracic Surgery (MD),"$407,107","$61,184","$468,291"
111,2009,HOSPITAL OF SAINT RAPHAEL,9,Section Chief - Cardiology (MD),"$400,088","$20,862","$420,950"
112,2009,HOSPITAL OF SAINT RAPHAEL,10,Associate Clinical Chair - Medicine (MD),"$336,278","$24,282","$360,560"
113,2009,JOHN DEMPSEY HOSPITAL,1,CFO,"$338,795","$128,776","$467,571"
114,2009,JOHN DEMPSEY HOSPITAL,2,COO,"$209,321","$79,563","$288,884"
115,2009,JOHN DEMPSEY HOSPITAL,3,ASSISTANT PROFESSOR / CLINICAL / ER,"$204,883","$77,876","$282,759"
116,2009,JOHN DEMPSEY HOSPITAL,4,ASSISTANT PROFESSOR / CLINICAL / ER,"$204,396","$77,691","$282,087"
117,2009,JOHN DEMPSEY HOSPITAL,5,ASSISTANT PROFESSOR / CLINICAL / ER,"$203,901","$77,503","$281,404"
118,2009,JOHN DEMPSEY HOSPITAL,6,ASSOCIATE VP / CLINICAL OPERATION,"$203,108","$77,201","$280,309"
119,2009,JOHN DEMPSEY HOSPITAL,7,ASSISTANT PROFESSOR / CLINICAL / ER,"$188,587","$71,662","$260,249"
120,2009,JOHN DEMPSEY HOSPITAL,8,MEDICAL PHYSICIST/CLINICAL/RADIOLOGY,"$172,329","$65,502","$237,831"
